dataX,dataY
-0.10980633,-0.8774802
-0.10980633,-0.8803113
-0.10980633,-0.8831425
-0.10980633,-0.88597363
-0.10980633,-0.88880473
-0.10980633,-0.8916359
-0.10980633,-0.894467
-0.10980633,-0.89729816
-0.10980633,-0.9001293
-0.10980633,-0.9029604
-0.10980633,-0.9057916
-0.10980633,-0.90862274
-0.10980633,-0.91145384
-0.10980633,-0.914285
-0.10980633,-0.9171161
-0.10980633,-0.91994727
-0.10980633,-0.9227784
-0.10980633,-0.9256095
-0.10980633,-0.9284407
-0.10980633,-0.93127185
-0.10980633,-0.93410295
-0.10980633,-0.9369341
-0.10980633,-0.9397652
-0.10980633,-0.9425964
-0.10980633,-0.94542754
-0.10980633,-0.94825864
-0.10697519,-0.9510898
-0.10414405,-0.9510898
-0.10131291,-0.9510898
-0.098481774,-0.9510898
-0.095650636,-0.94825864
-0.0928195,-0.94825864
-0.08998836,-0.94825864
-0.08715722,-0.94825864
-0.08432608,-0.94825864
-0.08149494,-0.94825864
-0.0786638,-0.94825864
-0.075832665,-0.94825864
-0.07300153,-0.94542754
-0.07017039,-0.94542754
-0.06733925,-0.94542754
-0.06450811,-0.94542754
-0.06167697,-0.94542754
-0.058845833,-0.94542754
-0.056014694,-0.94542754
-0.053183556,-0.94542754
-0.050352417,-0.94542754
-0.04752128,-0.9425964
-0.04469014,-0.9425964
-0.041859,-0.9425964
-0.041859,-0.9397652
-0.041859,-0.9369341
-0.041859,-0.93410295
-0.041859,-0.93127185
-0.04469014,-0.9284407
-0.04469014,-0.9256095
-0.04469014,-0.9227784
-0.04752128,-0.91994727
-0.04752128,-0.9171161
-0.04752128,-0.914285
-0.04752128,-0.91145384
-0.050352417,-0.90862274
-0.050352417,-0.9057916
-0.050352417,-0.9029604
-0.053183556,-0.9001293
-0.053183556,-0.89729816
-0.053183556,-0.894467
-0.056014694,-0.8916359
-0.056014694,-0.88880473
-0.058845833,-0.88597363
-0.06167697,-0.88597363
-0.06450811,-0.88597363
-0.06733925,-0.8831425
-0.07017039,-0.8831425
-0.07300153,-0.8831425
-0.075832665,-0.8831425
-0.0786638,-0.8831425
-0.08149494,-0.8831425
-0.08432608,-0.8803113
-0.08715722,-0.8803113
-0.08998836,-0.8803113
-0.0928195,-0.8803113
-0.095650636,-0.8803113
-0.098481774,-0.8774802
-0.10131291,-0.8774802
-0.10414405,-0.8774802
-0.10697519,-0.8774802
-0.17775366,-0.8548311
-0.17775366,-0.8576622
-0.18058479,-0.86049336
-0.18058479,-0.8633245
-0.18341593,-0.8661556
-0.18341593,-0.8689868
-0.18341593,-0.8718179
-0.18624707,-0.87464905
-0.18624707,-0.8774802
-0.18624707,-0.8803113
-0.18907821,-0.8831425
-0.18907821,-0.88597363
-0.18907821,-0.88880473
-0.19190934,-0.8916359
-0.19190934,-0.894467
-0.19474049,-0.89729816
-0.19474049,-0.9001293
-0.19757162,-0.9029604
-0.19757162,-0.9057916
-0.20040277,-0.90862274
-0.20040277,-0.91145384
-0.20040277,-0.914285
-0.20040277,-0.9171161
-0.20040277,-0.91994727
-0.19757162,-0.91994727
-0.19474049,-0.91994727
-0.19190934,-0.91994727
-0.18907821,-0.9227784
-0.18624707,-0.9227784
-0.18341593,-0.9227784
-0.18058479,-0.9227784
-0.17775366,-0.9227784
-0.17492251,-0.9227784
-0.17209138,-0.9227784
-0.16926023,-0.9227784
-0.1664291,-0.9256095
-0.16359796,-0.9256095
-0.16076683,-0.9256095
-0.15793568,-0.9256095
-0.15510455,-0.9256095
-0.1522734,-0.9256095
-0.14944227,-0.9284407
-0.14661112,-0.9284407
-0.14378,-0.9284407
-0.14094885,-0.93127185
-0.13811772,-0.93127185
-0.13528657,-0.93127185
-0.13245544,-0.93127185
-0.12962429,-0.93410295
-0.12679316,-0.93410295
-0.12396202,-0.93410295
-0.12396202,-0.93127185
-0.12113088,-0.9284407
-0.12113088,-0.9256095
-0.12113088,-0.9227784
-0.12113088,-0.91994727
-0.12113088,-0.9171161
-0.12113088,-0.914285
-0.12113088,-0.91145384
-0.12113088,-0.90862274
-0.12113088,-0.9057916
-0.12113088,-0.9029604
-0.12113088,-0.9001293
-0.12113088,-0.89729816
-0.12113088,-0.894467
-0.12113088,-0.8916359
-0.12113088,-0.88880473
-0.12396202,-0.88597363
-0.12679316,-0.8831425
-0.12962429,-0.8831425
-0.13245544,-0.8803113
-0.13528657,-0.8803113
-0.13811772,-0.8774802
-0.14094885,-0.87464905
-0.14378,-0.87464905
-0.14661112,-0.8718179
-0.14944227,-0.8689868
-0.1522734,-0.8689868
-0.15510455,-0.8661556
-0.15793568,-0.8661556
-0.16076683,-0.8633245
-0.16359796,-0.86049336
-0.1664291,-0.8576622
-0.16926023,-0.8576622
-0.17209138,-0.8548311
-0.17492251,-0.8576622
-0.22871415,-0.8180263
-0.23154528,-0.8208574
-0.23154528,-0.82368857
-0.23437643,-0.82651967
-0.23720756,-0.8293508
-0.24003871,-0.832182
-0.24003871,-0.8350131
-0.24286984,-0.83784425
-0.24570099,-0.8406754
-0.24853212,-0.8435065
-0.25136325,-0.8463377
-0.25136325,-0.8491688
-0.25136325,-0.85199994
-0.25136325,-0.8548311
-0.24853212,-0.8576622
-0.24570099,-0.86049336
-0.24286984,-0.8633245
-0.24003871,-0.8661556
-0.23720756,-0.8689868
-0.23437643,-0.8718179
-0.23437643,-0.87464905
-0.23154528,-0.8774802
-0.22871415,-0.8803113
-0.225883,-0.8831425
-0.22305188,-0.88597363
-0.22022073,-0.88880473
-0.2173896,-0.8916359
-0.2173896,-0.894467
-0.21455845,-0.89729816
-0.21172732,-0.9001293
-0.20889618,-0.9001293
-0.20606504,-0.9029604
-0.20606504,-0.9001293
-0.2032339,-0.89729816
-0.2032339,-0.894467
-0.20040277,-0.8916359
-0.20040277,-0.88880473
-0.20040277,-0.88597363
-0.19757162,-0.8831425
-0.19757162,-0.8803113
-0.19757162,-0.8774802
-0.19474049,-0.87464905
-0.19474049,-0.8718179
-0.19474049,-0.8689868
-0.19190934,-0.8661556
-0.19190934,-0.8633245
-0.19190934,-0.86049336
-0.19474049,-0.8576622
-0.19757162,-0.8548311
-0.19757162,-0.85199994
-0.20040277,-0.8491688
-0.2032339,-0.8463377
-0.2032339,-0.8435065
-0.20606504,-0.8406754
-0.20889618,-0.83784425
-0.20889618,-0.8350131
-0.21172732,-0.832182
-0.21172732,-0.8293508
-0.21455845,-0.82651967
-0.2173896,-0.82368857
-0.2173896,-0.8208574
-0.22022073,-0.8180263
-0.22305188,-0.8180263
-0.225883,-0.8180263
-0.2626878,-0.7698969
-0.26551896,-0.7727281
-0.2683501,-0.7727281
-0.27118123,-0.7755592
-0.27401236,-0.7755592
-0.27684352,-0.77839035
-0.27967465,-0.77839035
-0.28250578,-0.78122145
-0.28250578,-0.7840526
-0.28250578,-0.7868838
-0.28250578,-0.7897149
-0.27967465,-0.79254603
-0.27967465,-0.7953772
-0.27684352,-0.7982083
-0.27401236,-0.80103946
-0.27401236,-0.80387056
-0.27118123,-0.8067017
-0.27118123,-0.8095329
-0.2683501,-0.812364
-0.26551896,-0.81519514
-0.26551896,-0.8180263
-0.2626878,-0.8208574
-0.25985667,-0.82368857
-0.25985667,-0.82651967
-0.25702554,-0.8293508
-0.25702554,-0.832182
-0.2541944,-0.832182
-0.25136325,-0.832182
-0.24853212,-0.832182
-0.24853212,-0.8293508
-0.24570099,-0.82651967
-0.24286984,-0.82368857
-0.24003871,-0.8208574
-0.24003871,-0.8180263
-0.24003871,-0.81519514
-0.23720756,-0.812364
-0.23720756,-0.8095329
-0.23720756,-0.8067017
-0.24003871,-0.80387056
-0.24003871,-0.80103946
-0.24286984,-0.7982083
-0.24286984,-0.7953772
-0.24286984,-0.79254603
-0.24570099,-0.7897149
-0.24570099,-0.7868838
-0.24853212,-0.7840526
-0.24853212,-0.78122145
-0.25136325,-0.77839035
-0.25136325,-0.7755592
-0.25136325,-0.7727281
-0.2541944,-0.7698969
-0.25702554,-0.7698969
-0.25985667,-0.7698969
-0.27684352,-0.73026097
-0.27967465,-0.7330921
-0.28250578,-0.7330921
-0.2853369,-0.7330921
-0.28816807,-0.73592323
-0.2909992,-0.73592323
-0.29383034,-0.73592323
-0.29666147,-0.7387544
-0.29666147,-0.74158555
-0.29666147,-0.74441665
-0.29666147,-0.7472478
-0.29383034,-0.750079
-0.29383034,-0.7529101
-0.2909992,-0.75574124
-0.2909992,-0.75857234
-0.28816807,-0.7614035
-0.2853369,-0.76423466
-0.28250578,-0.76706576
-0.27967465,-0.76706576
-0.27684352,-0.76423466
-0.27401236,-0.76423466
-0.27118123,-0.76423466
-0.2683501,-0.7614035
-0.26551896,-0.7614035
-0.2626878,-0.75857234
-0.26551896,-0.75574124
-0.26551896,-0.7529101
-0.26551896,-0.750079
-0.26551896,-0.7472478
-0.26551896,-0.74441665
-0.26551896,-0.74158555
-0.26551896,-0.7387544
-0.26551896,-0.73592323
-0.2683501,-0.7330921
-0.2683501,-0.73026097
-0.27118123,-0.73026097
-0.27401236,-0.73026097
-0.28250578,-0.690625
-0.2853369,-0.6934562
-0.28816807,-0.6934562
-0.2909992,-0.6934562
-0.29383034,-0.6934562
-0.29666147,-0.6934562
-0.29949263,-0.69628733
-0.30232376,-0.69628733
-0.3051549,-0.69628733
-0.3051549,-0.69911844
-0.30798602,-0.7019496
-0.30798602,-0.70478076
-0.3051549,-0.70761186
-0.30232376,-0.710443
-0.30232376,-0.7132741
-0.29949263,-0.7161053
-0.29666147,-0.71893644
-0.29666147,-0.72176754
-0.29383034,-0.72176754
-0.2909992,-0.72176754
-0.28816807,-0.72176754
-0.2853369,-0.72176754
-0.28250578,-0.71893644
