dataX,dataY
-0.6898572744758918,0.1277029757382773
-0.7430811256404869,0.14671149401134698
-0.7944041249777749,0.14671149401134698
-0.8381237170058351,0.1258021239109703
-0.8723390498973604,0.0991901983286728
-0.9027526791342719,0.06497486543714745
-0.9312654565438763,0.01935442158178029
-0.9388688638531042,-0.0357702814101217
-0.9388688638531042,-0.06998561430164706
-0.9160586419254205,-0.09659753988394457
-0.8932484199977372,-0.1061017990204794
-0.841925420660449,-0.10800265084778637
-0.8267186060419932,-0.09279583622933066
-0.7944041249777749,-0.06998561430164706
-0.7887015694958541,-0.06238220699241919
-0.7944041249777749,-0.0794898734381819
-0.8020075322870027,-0.10420094719317244
-0.8020075322870027,-0.12701116912085603
-0.8039083841143099,-0.1650282056669953
-0.8172143469054585,-0.18973927942198587
-0.8324211615239142,-0.21254950134966943
-0.8533305316242908,-0.2315580196227391
-0.8780416053792814,-0.2429631305865809
-0.8780416053792814,-0.20494609404044162
-0.8609339389335188,-0.18973927942198587
-0.840024568833142,-0.1764333166308371
-0.8096109395962306,-0.1707307611489162
-0.7601887920862496,-0.1441188355666187
-0.7354777183312591,-0.12891202094816298
-0.7164692000581895,-0.11370520632970726
-0.6917581263031988,-0.09089498440202369
-0.6594436452389804,-0.06808476247434009
-0.6480385342751387,-0.05477879968319137
-0.6404351269659108,-0.045274540546656535
-0.6157240532109203,-0.08899413257471672
-0.5948146831105436,-0.10230009536586547
-0.5663019057009392,-0.1118043545024003
-0.5263840173274928,-0.10800265084778637
-0.5054746472271163,-0.10230009536586547
-0.4807635734721258,-0.09279583622933066
-0.463655907026363,-0.08139072526548886
-0.44464738875329335,-0.06808476247434009
-0.41423375951638186,-0.06808476247434009
-0.3895226857613914,-0.056679651510498336
-0.3667124638337078,-0.0414728368920426
-0.34580309373333123,-0.0243651704462799
-0.3343979827694894,-0.0015549485185963432
-0.3324971309421825,0.01365186609985939
-0.34390224190602425,0.017453569754473323
-0.35340650104255905,0.006048458790631523
-0.3629107601790939,-0.007257504000517243
-0.3819192784521635,-0.022464318618972932
-0.4066303522071541,-0.031968577755507765
-0.42183716682560973,-0.03957198506473563
-0.42563887048022375,-0.0357702814101217
-0.41423375951638186,-0.014860911309745067
-0.4066303522071541,0.015552717927166356
-0.4047295003798471,0.047867198991384745
-0.4028286485525402,0.06877656909176139
-0.4047295003798471,0.09538849467405887
-0.4161346113436889,0.12200042025635637
-0.4370439814440655,0.14290979035673304
-0.4712593143355909,0.1486123458386539
-0.49216868443596745,0.1486123458386539
-0.5206814618455721,0.14100893852942603
-0.5529959429097904,0.1258021239109703
-0.5663019057009392,0.11439701294712849
-0.577707016664781,0.10489275381059371
-0.5929138312832367,0.09158679101944493
-0.6062197940743854,0.06877656909176139
-0.6138232013836133,0.04216464350946385
-0.6271291641747619,0.01935442158178029
-0.632831719656683,0.00794931061793849
-0.6442368306205246,-0.012960059482438101
-0.6632453488935944,-0.031968577755507765
-0.680353015339357,-0.05097709602857743
-0.6898572744758918,-0.06048135516511222
-0.7088657927489616,-0.07188646612895402
