dataX,dataY
5.82,2.63
5.76,2.5
5.7,2.36
5.69,2.18
5.58,1.99
5.52,1.72
5.48,1.51
5.46,1.35
5.47,1.16
5.51,1.11
5.62,1.11
5.74,1.19
5.82,1.29
5.88,1.43
5.93,1.49
5.98,1.58
6.02,1.55
6.06,1.5
6.04,1.4
5.98,1.32
5.91,1.24
5.86,1.16
5.8,1.07
5.75,1.03
5.69,0.97
5.59,0.91
5.56,0.88
5.49,0.87
5.34,0.87
5.32,0.87
5.25,0.93
5.19,1.05
5.19,1.12
5.15,1.2
5.15,1.39
5.15,1.58
5.24,1.79
5.26,1.87
5.28,1.95
5.14,1.96
5.05,1.9
4.91,1.79
4.82,1.71
4.73,1.57
4.66,1.45
4.66,1.35
4.66,1.18
4.69,1.13
4.79,1.11
4.88,1.11
4.98,1.18
5.04,1.27
5.1,1.42
5.13,1.51
5.1,1.36
5.1,1.25
5.1,1.16
5.09,1.09
5.0,1.01
4.95,0.96
4.87,0.91
4.75,0.87
4.63,0.85
4.54,0.85
4.49,0.86
4.41,0.92
4.36,0.99
4.3,1.09
4.29,1.12
4.24,1.09
4.19,1.03
4.17,1.0
4.11,0.97
4.05,0.93
3.98,0.89
3.93,0.86
3.78,0.83
3.74,0.83
3.67,0.87
3.63,0.93
3.59,1.0
3.57,1.07
3.5,1.07
3.47,1.03
3.43,0.98
3.38,0.94
3.35,0.91
3.29,0.89
3.14,0.89
3.04,0.89
2.99,0.89
2.95,0.95
2.92,1.03
2.91,1.11
2.88,1.16
2.79,1.07
2.75,1.0
2.7,0.95
2.65,0.91
2.62,0.9
2.54,0.87
2.38,0.87
2.33,0.87
2.25,0.93
2.19,0.98
2.1,1.07
2.06,1.12
2.0,1.09
1.96,1.04
1.93,1.0
1.88,0.97
1.81,0.91
1.71,0.85
1.6,0.81
1.55,0.82
1.48,0.83
1.34,0.87
1.23,0.94
1.19,0.99
1.13,1.14
1.12,1.23
1.1,1.23
1.06,1.19
1.02,1.15
0.99,1.12
0.95,1.1
0.87,1.06
0.79,1.07
0.66,1.07
0.58,1.08
0.54,1.03
0.53,1.0
0.49,0.96
0.43,0.91
0.32,0.87
0.24,0.87
0.08,0.87
-0.07,0.87
-0.1,0.88
-0.17,0.94
-0.2,0.99
-0.12,1.19
-0.1,1.32
0.06,1.76
0.21,1.95
0.37,1.95
0.46,1.95
0.55,1.91
0.58,1.84
0.58,1.71
0.58,1.6
0.54,1.46
0.5,1.35
0.45,1.26
0.39,1.18
0.32,1.14
0.22,1.08
0.09,1.04
-0.02,1.07
-0.1,1.14
-0.18,1.03
-0.22,0.85
-0.22,0.78
-0.28,0.57
-0.33,0.41
-0.37,0.28
-0.38,0.15
-0.46,-0.0
-0.74,-0.03
-0.47,1.16
-0.19,2.15
-0.98,1.56
-1.06,1.45
-1.18,1.35
-1.31,1.29
-1.45,1.22
-1.46,1.25
-1.73,1.3
-1.66,1.52
