dataX,dataY
0.218176,-0.46162304
0.21528742,-0.46451163
0.21239884,-0.46451163
0.20951025,-0.46451163
0.20662166,-0.46451163
0.20373309,-0.46451163
0.2008445,-0.46740022
0.19795592,-0.46740022
0.19506733,-0.46740022
0.19217876,-0.46740022
0.18929017,-0.4702888
0.18640159,-0.4702888
0.183513,-0.4702888
0.18062443,-0.47317737
0.17773584,-0.47317737
0.17484726,-0.47606596
0.17195867,-0.47606596
0.1690701,-0.47895455
0.1661815,-0.47895455
0.16329293,-0.48184314
0.16040434,-0.48184314
0.15751575,-0.4847317
0.15462717,-0.4876203
0.15173858,-0.4876203
0.14885001,-0.49050888
0.14596142,-0.49339747
0.14307284,-0.49628603
0.14018425,-0.49917462
0.13729568,-0.5020632
0.13729568,-0.5049518
0.13440709,-0.5078404
0.13440709,-0.51072896
0.13151851,-0.5136176
0.13151851,-0.51650614
0.13151851,-0.5193947
0.13151851,-0.5222833
0.13151851,-0.5251719
0.13151851,-0.52806044
0.13151851,-0.53094906
0.13151851,-0.5338376
0.13151851,-0.53672624
0.13151851,-0.5396148
0.13151851,-0.54250336
0.13151851,-0.545392
0.13440709,-0.54828054
0.13440709,-0.5511691
0.13440709,-0.5540577
0.13729568,-0.5569463
0.14018425,-0.5598349
0.14018425,-0.56272346
0.14307284,-0.565612
0.14596142,-0.56850064
0.14885001,-0.5713892
0.15173858,-0.5742778
0.15462717,-0.5771664
0.15751575,-0.5771664
0.16040434,-0.58005494
0.16329293,-0.58005494
0.1661815,-0.58294356
0.1690701,-0.58294356
0.17195867,-0.5858321
0.17484726,-0.5858321
0.17773584,-0.5887207
0.18062443,-0.5887207
0.183513,-0.5887207
0.18640159,-0.5916093
0.18929017,-0.5916093
0.19217876,-0.5916093
0.19506733,-0.59449786
0.19795592,-0.59449786
0.2008445,-0.59449786
0.20373309,-0.59449786
0.20662166,-0.5973865
0.20951025,-0.5973865
0.21239884,-0.5973865
0.21528742,-0.5973865
0.218176,-0.5973865
0.22106458,-0.5973865
0.22395317,-0.5973865
0.22684175,-0.60027504
0.22973034,-0.60027504
0.23261891,-0.60027504
0.2355075,-0.60027504
0.23839608,-0.60027504
0.24128467,-0.60027504
0.24417324,-0.60027504
0.24706183,-0.60027504
0.24995041,-0.60027504
0.252839,-0.60027504
0.2557276,-0.60027504
0.25861618,-0.60027504
0.26150474,-0.60027504
0.26439333,-0.60027504
0.26728192,-0.5973865
0.2701705,-0.5973865
0.27305907,-0.5973865
0.27594766,-0.5973865
0.27883625,-0.5973865
0.28172484,-0.5973865
0.2846134,-0.5973865
0.287502,-0.59449786
0.29039058,-0.59449786
0.29327917,-0.59449786
0.29616773,-0.5916093
0.29905632,-0.5916093
0.3019449,-0.5916093
0.3048335,-0.5887207
0.3077221,-0.5887207
0.31061065,-0.5887207
0.31349924,-0.5858321
0.31638783,-0.5858321
0.31927642,-0.58294356
0.32216498,-0.58294356
0.32505357,-0.58005494
0.32794216,-0.58005494
0.33083075,-0.5771664
0.3337193,-0.5771664
0.3366079,-0.5742778
0.3394965,-0.5713892
0.34238508,-0.5713892
0.34527364,-0.56850064
0.34816223,-0.565612
0.34816223,-0.56272346
0.35105082,-0.5598349
0.3539394,-0.5569463
0.3539394,-0.5540577
0.356828,-0.5511691
0.356828,-0.54828054
0.356828,-0.545392
0.35971656,-0.54250336
0.35971656,-0.5396148
0.35971656,-0.53672624
0.35971656,-0.5338376
0.36260515,-0.53094906
0.35971656,-0.52806044
0.35971656,-0.5251719
0.35971656,-0.5222833
0.35971656,-0.5193947
0.356828,-0.51650614
0.356828,-0.5136176
0.356828,-0.51072896
0.3539394,-0.5078404
0.3539394,-0.5049518
0.35105082,-0.5020632
0.35105082,-0.49917462
0.34816223,-0.49628603
0.34527364,-0.49339747
0.34238508,-0.49050888
0.3394965,-0.4876203
0.3366079,-0.4847317
0.3337193,-0.4847317
0.33083075,-0.48184314
0.32794216,-0.48184314
0.32505357,-0.47895455
0.32216498,-0.47895455
0.31927642,-0.47606596
0.31638783,-0.47606596
0.31349924,-0.47317737
0.31061065,-0.47317737
0.3077221,-0.47317737
0.3048335,-0.4702888
0.3019449,-0.4702888
0.29905632,-0.4702888
0.29616773,-0.46740022
0.29327917,-0.46740022
0.29039058,-0.46740022
0.287502,-0.46451163
0.2846134,-0.46451163
0.28172484,-0.46451163
0.27883625,-0.46451163
0.27594766,-0.46451163
0.27305907,-0.46451163
0.2701705,-0.46162304
0.26728192,-0.46162304
0.26439333,-0.46162304
0.26150474,-0.46162304
0.25861618,-0.46162304
0.2557276,-0.46162304
0.252839,-0.46162304
0.24995041,-0.46162304
0.24706183,-0.46162304
0.24417324,-0.46162304
0.24128467,-0.46162304
0.23839608,-0.46162304
0.2355075,-0.46162304
0.23261891,-0.46162304
0.22973034,-0.46162304
0.22684175,-0.46162304
0.22395317,-0.46162304
0.22106458,-0.46162304
0.2846134,-0.4038514
0.287502,-0.40673998
0.29039058,-0.40673998
0.29327917,-0.40962854
0.29616773,-0.41251713
0.29905632,-0.41251713
0.3019449,-0.41540572
0.3048335,-0.4182943
0.3077221,-0.4182943
0.31061065,-0.4182943
